A	B	71.64
A	C	145.90
A	D	222.76
A	E	297.76
A	F	403.36
A	G	360.82
A	H	403.36
A	I	212.31
A	J	268.66
A	K	378.73
A	M	422.01
B	C	75.37
B	D	151.12
B	E	226.12
B	F	122.01
B	G	289.18
B	H	331.34
B	I	220.90
B	J	230.22
B	K	322.76
B	M	355.22
C	D	75.75
C	E	150.75
C	F	71.64
C	G	213.43
C	H	256.34
C	I	250.37
C	J	210.45
C	K	272.01
C	M	287.31
D	E	75.00
D	F	83.21
D	G	138.06
D	H	180.60
D	I	298.13
D	J	216.42
D	K	234.33
D	M	223.51
E	F	142.16
E	G	63.06
E	H	105.59
E	I	355.60
E	J	247.76
E	K	216.79
E	M	169.78
F	G	198.51
F	H	240.30
F	I	216.41
F	J	140.68
F	K	204.10
F	M	236.19
G	H	42.54
G	I	407.09
G	J	283.96
G	K	219.03
G	M	138.81
H	I	445.89
H	J	317.16
H	K	235.45
H	M	138.05
I	J	155.60
I	K	300.37
I	M	395.15
J	K	145.90
J	M	244.03
K	M	117.54
